Epoch,Train_Loss,Val_Loss,Accuracy,Precision,Recall,F1,MCC,AUROC,AUPRC,Time
1,0.48749735951423645,0.4683520810471641,0.6855218528255034,0.8268767817548305,0.602763923524522,0.6972542001656027,0.4075084781207678,0.779175635373688,0.8097353886003901,1169.3066639900208
2,0.4648080445614523,0.4551739485727416,0.7176091947644778,0.8191945039356938,0.6800706566916043,0.7431776031087167,0.4448517035621382,0.7810947913545963,0.8124785972376621,1168.3103609085083
3,0.46107346496371443,0.4560289788577292,0.7454515187037435,0.7528466650457898,0.8579823589175211,0.8019835103168437,0.457525069811003,0.7832594133106854,0.8152767654747366,1179.422595500946
4,0.45732190462317,0.4509316442741288,0.7389868834492852,0.7832543078524343,0.7819340537545026,0.7825936239788314,0.4560932945329259,0.7916712827049512,0.8260646068266163,1185.8600914478302
5,0.45424369391206687,0.4541681508223216,0.7450769582920045,0.749674537843738,0.864286044148887,0.8029108615678325,0.45636234128224956,0.7966414569431828,0.8331730078616364,1321.231127023697
6,0.45053416725588896,0.44337108648485607,0.7484133204780501,0.7808020525405768,0.8081070471968228,0.7942199352097175,0.4713003726263642,0.8000442174782694,0.8354352366869969,1829.8411571979523
7,0.448597929549142,0.44047222038110095,0.7445706081057648,0.7983390655146381,0.7691304147039808,0.783462599154431,0.47286304823616987,0.8006499600158928,0.8363778694261532,3102.2681782245636
8,0.44621547323296123,0.44282564438051647,0.7342355152633367,0.8180752564963715,0.7171192389396878,0.764277760346493,0.4679845895695986,0.8018100543282932,0.8367823232773569,5223.7885954380035
9,0.444278283356116,0.44028833508491516,0.7379117563415158,0.8156129215734433,0.7284450909762631,0.7695685317883824,0.4720024362179772,0.8031440425521033,0.8376683124150326,5853.278065919876
10,0.4418130595037238,0.4366410333249304,0.7565773501931761,0.7831252472853563,0.8226540131153598,0.8024030990293012,0.486980542136987,0.8079934497463886,0.8433647477207311,6073.306874752045
11,0.44146840410653726,0.4355417721801334,0.7593865532812186,0.7826328336762353,0.8300429481850928,0.8056409997814868,0.4920597990057863,0.8111323803535434,0.8462738627060757,5999.451842308044
