Epoch,Train_Loss,Val_Loss,Accuracy,Precision,Recall,F1,MCC,AUROC,AUPRC,Time
1,0.488011146475464,0.4731653994984097,0.6512079573278583,0.8211781828508546,0.535015495628845,0.6479060616033105,0.3618648483559744,0.7797161549314966,0.8117318005918787,573.3129134178162
2,0.46724104787272985,0.45591942965984344,0.715153743176411,0.8158736783528102,0.6781650400111013,0.7406729141933366,0.43972832775578363,0.7808622996263471,0.8133422933688306,579.8079779148102
3,0.4605632125391193,0.45626066211197114,0.7121919414021045,0.8224818983439673,0.6633516813913687,0.7343955038055063,0.4399476724196645,0.7873684443427489,0.8221845191620337,585.5013830661774
4,0.4569173349943071,0.44915301435523564,0.7461312764880106,0.7661018396004952,0.8302419168324159,0.7968833244539159,0.46255220069910297,0.7980100858352738,0.8346572977445523,585.8541719913483
5,0.4525458884163986,0.4431803160243564,0.732827445567355,0.8082371391109854,0.7270919098940747,0.7655201801911488,0.460530912631955,0.7994233370662771,0.8345243873199452,601.1740128993988
6,0.4487852494611349,0.6790814167923398,0.4655369739680514,0.8743742550655542,0.12724917896294927,0.22216614005511756,0.17330445851849896,0.7892655113754992,0.8171282938698645,797.807697057724
7,0.44686019618052414,0.4401389029290941,0.7324945029791425,0.8184997074934851,0.7118853786021555,0.7614788976300034,0.4661415538039911,0.8032138528148046,0.8369948082030497,1563.2453792095184
8,0.4428602614989416,0.44974182215001846,0.7521797335072034,0.7493024169777952,0.8819094315185716,0.8102158762536121,0.4727659447631539,0.8063154342568815,0.8407260990841072,3675.4796419143677
9,0.43933026600711356,0.44264745712280273,0.7539970451345296,0.7540237440739412,0.8754683380359869,0.8102204623287671,0.4767149099243218,0.8099713865770752,0.8469624446777125,4518.4216475486755
10,0.4345715588387631,0.42620127234194016,0.7599345212909849,0.7891919619956732,0.818377353254082,0.8035197275049674,0.49582040297773267,0.8193113189957817,0.8577178869258466,4731.442769050598
11,0.43120730806976465,0.43047982619868386,0.7621818837614189,0.7694094569481726,0.8617998057264443,0.8129881747174587,0.4952813205524557,0.8210179459405917,0.8597823176819088,4775.895750045776
12,0.429236591426356,0.42459145353900063,0.7459648051939044,0.8187468030690537,0.7403903973356769,0.7775996502222546,0.4865050088371557,0.8230679956033753,0.8622954925437407,4731.030057430267
13,0.42603310369166664,0.42771632389889824,0.7640338769083506,0.7661954105814414,0.8730052268837597,0.8161204711173091,0.498958982935884,0.8243700884168264,0.8637690915639341,4870.263733863831
14,0.4241727206985281,0.41645070082611507,0.7617587692222323,0.8038493372658281,0.7973888709005967,0.8006060711611139,0.5047551667707637,0.8286803761401567,0.867438494226405,4797.409899234772
15,0.42292664554968995,0.4159913981954257,0.7648454244671185,0.7950876720325094,0.8190480595772237,0.8068900306451429,0.5068212366186511,0.8282997181504257,0.8684420304558864,4785.122977733612
